雅居园南苑 三室两厅两卫 精装修 公摊少 视野宽阔,雅居园,济阳,3室2厅 ,143.65, 南 北 , 精装 ,5, 暂无数据,0,26,900000.0,"6,266元/平",VR看装修 房本满五年 随时看房 
金湖国际145平四室两厅两卫107万免高税,金湖国际,济阳,4室2厅 ,145.0, 南 北 , 毛坯 ,26, 板楼,2, 2个月以前发布,1050000.0,"7,242元/平",VR看装修 
多层房源，空间大，公摊少，一体两户，南北通透格局好,华鑫现代城,济阳,2室2厅 ,83.83, 南 北 , 精装 ,5, 暂无数据,0, 2个月以前发布,520000.0,"6,204元/平",VR看装修 
精装修 免高税 澄波湖一号121平精装三室,澄波湖壹号,济阳,3室2厅 ,121.2, 南 北 , 精装 ,30, 板塔结合,2, 2个月以前发布,950000.0,"7,839元/平",VR看装修 
澄波湖壹号两室精装房 免高税 可分期,澄波湖壹号,济阳,2室2厅 ,92.77, 南 北 , 精装 ,27, 板楼,11, 一年前发布,670000.0,"7,223元/平",VR看装修 
此房精装修两室  拎包入住 楼层好 仅售65万 边户,帝华幸福苑,济阳,2室2厅 ,90.0, 南 北 , 精装 ,33, 板楼,2, 2个月以前发布,650000.0,"7,223元/平",VR看装修 
闻韶佳苑  两室两厅一卫 免高税  东邻植物园 安大广场,闻韶佳苑,济阳,2室2厅 ,80.4, 南 北 , 简装 ,28, 板楼,0, 1个月以前发布,698000.0,"8,682元/平",VR看装修 
三发舜鑫苑东区三室两厅144平95万。,三发舜鑫苑东区,济阳,3室2厅 ,144.0, 南 北 , 精装 ,5, 板楼,3, 一年前发布,870000.0,"6,042元/平",VR看装修 
金海花园精装两室 楼层好 视野宽阔 采光充足,四建金海花园,济阳,2室2厅 ,92.8, 南 北 , 精装 ,25, 暂无数据,1, 1个月以前发布,800000.0,"8,621元/平",VR看装修 
两室两厅一卫，带车位储藏室，免高税,帝华幸福苑,济阳,2室2厅 ,98.0, 南 北 , 精装 ,33, 板楼,0, 10个月以前发布,700000.0,"7,143元/平",VR看装修 
澄波湖95平精装两室76万好楼层免高税,澄波湖壹号,济阳,2室2厅 ,91.18, 南 , 精装 ,31, 暂无数据,0, 3个月以前发布,730000.0,"8,007元/平",VR看装修 
此房免高税  中等装修  全天采光,四建金海花园,济阳,3室2厅 ,106.0, 南 北 , 简装 ,25, 暂无数据,2, 2个月以前发布,860000.0,"8,114元/平",VR看装修 
闻韶苑132.51平精装三室价格面议免高税车库另算,闻韶苑,济阳,3室2厅 ,132.51, 南 北 , 精装 ,7, 板楼,4, 1个月以前发布,1080000.0,"8,151元/平",VR看装修 
三发小区  三室两厅一卫 诚心出售  价格可议,三发舜鑫苑西区,济阳,3室2厅 ,105.5, 南 北 , 精装 ,7, 板楼,2, 2个月以前发布,720000.0,"6,825元/平",VR看装修 
出售禧福凤凰城91平73万免高税带储藏室好楼层,禧福凤凰城,济阳,2室1厅 ,90.76, 南 , 毛坯 ,28, 暂无数据,2, 2个月以前发布,725000.0,"7,989元/平",VR看装修 
城市之星南北通透 精装修三室 采光无忧 正常首付,祥生·城市之星,济阳,3室2厅 ,114.31, 北 南 , 精装 ,25, 暂无数据,2, 5个月以前发布,870000.0,"7,611元/平",VR看装修 
业主诚心出售 三发小区   好楼层 带40平出储藏室,三发舜鑫苑东区,济阳,3室1厅 ,156.58, 南 北 , 精装 ,5, 板楼,1, 2个月以前发布,1180000.0,"7,537元/平",VR房源 
领秀城 三居室 带车位 免高税 南北通透 小高层,领秀城,济阳,3室2厅 ,151.0, 南 北 , 简装 ,11, 暂无数据,11, 一年前发布,1285000.0,"8,510元/平",VR看装修 
城市之星    采光无忧 好楼层  可以贷款,祥生·城市之星,济阳,3室2厅 ,99.05, 南 , 简装 ,23, 暂无数据,2, 一年前发布,820000.0,"8,279元/平",VR看装修 
澄波湖壹号 两梯两户免高税 好楼层 南北通透,澄波湖壹号,济阳,3室2厅 ,141.7, 南 北 , 简装 ,27, 暂无数据,1, 一年前发布,1080000.0,"7,622元/平",VR看装修 
华鑫现代城精装两室 南北通透 采光充足 物业费低,华鑫现代城,济阳,2室1厅 ,74.0, 南 北 , 精装 ,5, 暂无数据,2, 1个月以前发布,590000.0,"7,973元/平",VR看装修 
好房出售  精装修三室两厅一卫   带车位  免高税,帝华幸福苑,济阳,3室1厅 ,118.15, 南 北 , 精装 ,33, 暂无数据,1, 2个月以前发布,880000.0,"7,449元/平",VR看装修 
此房免高税 电梯洋房 中间好楼层 南北通风,领秀城,济阳,3室2厅 ,145.0, 南 北 , 其他 ,12, 暂无数据,3, 2个月以前发布,1370000.0,"9,449元/平",VR房源 
新世纪阳光花园步梯房 好楼层 精装修 南北通透,新世纪,济阳,2室2厅 ,104.0, 南 北 , 简装 ,6, 板楼,1, 9个月以前发布,750000.0,"7,212元/平",VR看装修 
帝华幸福苑 3室1厅 南 北,帝华幸福苑,济阳,3室1厅 ,118.15, 南 北 , 其他 ,33, 暂无数据,1, 1个月以前发布,750000.0,"6,348元/平",VR房源 
三发东区三室南北通透的户型 精装修 物业费低,三发舜鑫苑东区,济阳,3室2厅 ,137.0, 南 北 , 精装 ,6, 板楼,6, 7个月以前发布,1100000.0,"8,030元/平",VR看装修 
出售澄波湖壹号精装修三室两厅一卫户型方正,澄波湖壹号,济阳,3室2厅 ,120.0, 南 北 , 精装 ,30, 板塔结合,3, 一年前发布,1050000.0,"8,750元/平",VR看装修 
帝华幸福苑141平精装三室109万带车位储藏室免高税,帝华幸福苑,济阳,3室2厅 ,141.0, 南 北 , 精装 ,33, 板楼,1, 3个月以前发布,1080000.0,"7,660元/平",VR看装修 
这套房子新房，户型方正，楼层好，采光充足。,博纳龙域天城,济阳,3室2厅 ,133.0, 南 , 精装 ,25, 暂无数据,1, 10个月以前发布,1200000.0,"9,023元/平",VR看装修 
精装修户型好.小高层公摊小免高税,名门世家(济阳区),济阳,3室2厅 ,126.0, 南 北 , 简装 ,11, 暂无数据,0, 2个月以前发布,870000.0,"6,905元/平",VR看装修 
出售 腾骐骏安160平四室两厅 免高税 130万 低楼层,腾骐骏安西区,济阳,4室2厅 ,160.0, 南 北 , 毛坯 ,6, 板楼,2, 一年前发布,1270000.0,"7,938元/平",VR看装修 
泉城尚郡 中装三室两卫117万带车库免高税可分期,幸福·泉城尚郡,济阳,3室2厅 ,138.21, 南 北 , 简装 ,5, 板楼,1, 一年前发布,1150000.0,"8,321元/平",VR看装修 
大明胜景 3室1厅 南 北,大明胜景,济阳,3室1厅 ,94.0, 南 北 , 精装 ,24, 板楼,0, 1个月以前发布,760000.0,"8,086元/平",VR看装修 
名门世家(济阳区) 2室1厅 南 北,名门世家(济阳区),济阳,2室1厅 ,82.6, 南 北 , 其他 ,11, 板楼,1,26,530000.0,"6,417元/平",VR房源 
闻韶佳苑 2室2厅 南,闻韶佳苑,济阳,2室2厅 ,96.5, 南 , 精装 ,17, 板楼,0,18,800000.0,"8,291元/平",VR看装修 
博纳龙域天城 2室1厅 南,博纳龙域天城,济阳,2室1厅 ,84.0, 南 , 简装 ,18, 板楼,0,17,600000.0,"7,143元/平",VR房源 
幸福·泉城尚郡 2室1厅 南 北,幸福·泉城尚郡,济阳,2室1厅 ,86.0, 南 北 , 精装 ,6, 板楼,1,21,540000.0,"6,280元/平",VR看装修 
此房为三室两厅两卫 两梯四户 公摊小 客厅卧室朝阳,帝华书香苑,济阳,3室1厅 ,127.0, 南 北 , 毛坯 ,32, 暂无数据,1, 2个月以前发布,880000.0,"6,930元/平",VR看装修 
此房南北通风  楼层好 采光充足 视野宽阔,新世纪,济阳,3室2厅 ,130.0, 南 , 精装 ,5, 板楼,0, 1个月以前发布,980000.0,"7,539元/平",VR看装修 
出售 凤凰城 三室简单装修  免高税 可分期,禧福凤凰城,济阳,3室2厅 ,140.0, 南 , 精装 ,28, 暂无数据,2, 9个月以前发布,1150000.0,"8,215元/平",VR看装修 
新型小区，环境优美，户型方正，南北通风，格局好,澄波湖壹号,济阳,3室1厅 ,121.0, 南 , 简装 ,30, 板塔结合,0, 2个月以前发布,900000.0,"7,439元/平",VR看装修 
此房精装免高税 中间好楼层  全天采光无忧,领秀城,济阳,3室2厅 ,143.75, 南 北 , 精装 ,12, 暂无数据,6, 2个月以前发布,1350000.0,"9,392元/平",VR看装修 随时看房 
金海花园93平两室76万带储藏室免高税付款方式不限,四建金海花园,济阳,2室2厅 ,92.68, 南 , 简装 ,25, 暂无数据,1, 2个月以前发布,760000.0,"8,201元/平",VR看装修 随时看房 
幸福苑精装两室带储藏室免高税采光好,帝华幸福苑,济阳,2室2厅 ,89.59, 南 , 精装 ,33, 板楼,1, 10个月以前发布,649000.0,"7,245元/平",VR看装修 
帝华幸福苑90平简装两室63万免高税,帝华幸福苑,济阳,2室1厅 ,90.0, 南 北 , 简装 ,33, 板楼,2, 2个月以前发布,630000.0,"7,000元/平",VR房源 随时看房 
三吉花园三室两厅一卫，全明户型，产权清晰,三吉花园(济阳区),济阳,3室2厅 ,107.0, 南 北 , 简装 ,11, 板楼,3, 11个月以前发布,870000.0,"8,131元/平",VR看装修 
帝华幸福苑 2室1厅 南,帝华幸福苑,济阳,2室1厅 ,97.59, 南 , 精装 ,33, 板楼,0, 1个月以前发布,680000.0,"6,968元/平",VR房源 
三发西区112平85万精装三室中间楼层,三发舜鑫苑西区,济阳,3室2厅 ,112.0, 南 北 , 精装 ,6, 暂无数据,2, 6个月以前发布,850000.0,"7,590元/平",VR房源 
此房免高税  精装修大三室  全天采光无忧,康瑞悦府,济阳,3室2厅 ,141.59, 南 北 , 精装 ,24, 板楼,0, 2个月以前发布,980000.0,"6,922元/平",VR看装修 
三发舜鑫苑123平86万带储藏室三室两卫免高税,三发舜鑫苑东区,济阳,3室2厅 ,123.7, 南 北 , 精装 ,6, 板楼,1, 2个月以前发布,860000.0,"6,953元/平",VR房源 
澄波湖一号品质二居，电梯房，高层南北通透。,澄波湖壹号,济阳,2室2厅 ,102.51, 南 北 , 简装 ,27, 暂无数据,1, 7个月以前发布,714000.0,"6,966元/平",VR看装修 
33万买两室邻济北47平 实际使用面积大,名门世家(济阳区),济阳,2室2厅 ,47.0, 南 , 精装 ,6, 暂无数据,16, 7个月以前发布,280000.0,"5,958元/平",VR看装修 
龙港·清华园 2室1厅 南 北,龙港·清华园,济阳,2室1厅 ,90.0, 南 北 , 简装 ,22, 板塔结合,1, 2个月以前发布,630000.0,"7,000元/平",VR看装修 
金湖国际精装两室 户型好 楼层好 采光充足,金湖国际,济阳,2室1厅 ,105.0, 南 , 精装 ,18, 板塔结合,5, 5个月以前发布,750000.0,"7,143元/平",VR看装修 
新出 澄波湖壹号小三室 边户 免高税 小高层,澄波湖壹号,济阳,3室2厅 ,112.49, 南 北 , 简装 ,18, 板塔结合,10, 6个月以前发布,750000.0,"6,668元/平",VR看装修 
雅居园西苑中装三室，一梯两户，两个室南向！,雅居园,济阳,3室2厅 ,115.0, 南 , 简装 ,6, 板楼,1, 一年前发布,950000.0,"8,261元/平",VR看装修 
闻韶佳苑精装修未住130平三室带储藏室免高税,闻韶佳苑,济阳,3室2厅 ,130.0, 南 北 , 精装 ,32, 板楼,1, 1个月以前发布,1240000.0,"9,539元/平",VR看装修 
此房免高税  好楼层  全天采光无忧,雅居园,济阳,3室2厅 ,133.9, 南 北 , 简装 ,6, 板楼,4, 2个月以前发布,960000.0,"7,170元/平",VR看装修 
帝华免高税 ~大三室 143平仅售110万带车位带储藏室,帝华幸福苑,济阳,3室2厅 ,143.0, 南 北 , 精装 ,33, 板楼,5, 一年前发布,1070000.0,"7,483元/平",VR看装修 
邻济北公园147平100万三室两厅两卫公摊小满五唯一,华宇舜苑,济阳,3室2厅 ,147.0, 南 北 , 其他 ,6, 板楼,4, 2个月以前发布,990000.0,"6,735元/平",VR房源 
三室两厅一卫，精装修，南北通透，采光充足，看房子方,新世纪,济阳,3室2厅 ,136.49, 南 北 , 精装 ,5, 暂无数据,0, 7个月以前发布,980000.0,"7,181元/平",VR看装修 
帝华幸福苑两居室 带车位 储藏室 可分期,帝华幸福苑,济阳,2室2厅 ,87.0, 南 北 , 精装 ,33, 暂无数据,6, 8个月以前发布,600000.0,"6,897元/平",VR看装修 
此房免高税  房大复式 精装修 电梯洋,领秀城,济阳,6室3厅 ,261.0, 南 北 , 精装 ,11, 暂无数据,0, 3个月以前发布,2610000.0,"10,000元/平",VR房源 
禧福凤凰城 3室2厅 南 北,禧福凤凰城,济阳,3室2厅 ,130.91, 南 北 , 简装 ,28, 暂无数据,0, 1个月以前发布,1100000.0,"8,403元/平",VR房源 
诚心出售 三发西区 单价6500元买现房 停车方便,三发舜鑫苑西区,济阳,3室2厅 ,138.0, 南 北 , 简装 ,7, 板楼,0, 1个月以前发布,890000.0,"6,450元/平",VR看装修 
三发舜鑫苑东区三室两厅两位124平精装修95万,三发舜鑫苑东区,济阳,3室2厅 ,124.0, 南 北 , 精装 ,6, 板楼,1, 一年前发布,890000.0,"7,178元/平",VR看装修 
房精装修 免高税 好楼层 带20平储藏室,济北花园,济阳,3室2厅 ,104.5, 南 北 , 精装 ,5, 板楼,1, 3个月以前发布,990000.0,"9,474元/平",VR房源 
此房精装修免高税 好楼层带20平储藏室,腾骐骏安西区,济阳,3室2厅 ,144.0, 南 北 , 精装 ,6, 板楼,0, 2个月以前发布,1150000.0,"7,987元/平",VR看装修 
盛世瑞城180平精装四室两卫165万带车库免高税,盛世瑞城,济阳,4室2厅 ,180.02, 南 北 , 精装 ,8, 板楼,1, 3个月以前发布,1650000.0,"9,166元/平",VR看装修 
济北花园  三居室 南北通透 户型方正 采光无忧,济北花园,济阳,3室2厅 ,125.0, 南 北 , 简装 ,6, 板楼,6, 一年前发布,1080000.0,"8,640元/平",VR看装修 
禧福凤凰城112平三室一卫95万免高税,禧福凤凰城,济阳,3室2厅 ,111.94, 南 北 , 简装 ,28, 暂无数据,3, 2个月以前发布,950000.0,"8,487元/平",VR看装修 
雅居园六区134平三室两卫110万诚心出售好楼层,雅居园,济阳,3室2厅 ,134.0, 南 北 , 精装 ,7, 板楼,2, 2个月以前发布,1100000.0,"8,209元/平",VR看装修 
凤栖花园 3室2厅 南 北,凤栖花园,济阳,3室2厅 ,123.0, 南 北 , 简装 ,21, 板楼,0, 1个月以前发布,910000.0,"7,399元/平",VR房源 
澄波湖壹号  三室两厅两卫  两梯两户 纯边户南北通透,澄波湖壹号,济阳,3室2厅 ,140.0, 南 北 , 简装 ,29, 板楼,1, 2个月以前发布,990000.0,"7,072元/平",VR房源 
博纳龙域天城 3室2厅 南 北,博纳龙域天城,济阳,3室2厅 ,122.0, 南 北 , 毛坯 ,18, 暂无数据,4, 3个月以前发布,880000.0,"7,214元/平",VR看装修 
澄波湖135平 好楼层 全天采光 三室两卫 两梯两户,澄波湖壹号,济阳,3室2厅 ,135.0, 南 北 , 简装 ,27, 板楼,0, 2个月以前发布,1020000.0,"7,556元/平",VR看装修 
禧福凤凰城品质三居电梯洋房好楼层公摊少南北通透,禧福凤凰城,济阳,3室2厅 ,116.0, 南 北 , 精装 ,11, 暂无数据,2, 5个月以前发布,910000.0,"7,845元/平",VR看装修 
此房精装修 免高税 公摊小 好楼层 全天采光无忧,新世纪,济阳,3室2厅 ,122.7, 南 北 , 简装 ,6, 暂无数据,0, 2个月以前发布,750000.0,"6,113元/平",VR看装修 
雅居园精装三室 南北通透  楼层好  房子公摊小,雅居园,济阳,3室2厅 ,118.0, 南 北 , 精装 ,5, 板楼,5, 7个月以前发布,760000.0,"6,441元/平",VR看装修 
此房看房方便 一梯两户 公摊小 全天采光,幸福·泉城尚郡,济阳,2室2厅 ,94.06, 南 北 , 精装 ,5, 板楼,1, 9个月以前发布,670000.0,"7,124元/平",VR房源 
金湖国际121平三室两厅99万精装修,金湖国际,济阳,3室2厅 ,121.06, 南 西 , 简装 ,22, 暂无数据,4, 8个月以前发布,980000.0,"8,096元/平",VR看装修 
金湖国际，四居室，电梯房，高层南北通透。,金湖国际,济阳,4室2厅 ,156.0, 南 北 , 精装 ,31, 板楼,1, 7个月以前发布,1502000.0,"9,629元/平",VR房源 
力高未来城140平四室两卫115万精装修好楼层,力高未来城,济阳,4室2厅 ,140.0, 南 北 , 精装 ,31, 板楼,1, 2个月以前发布,1130000.0,"8,072元/平",VR看装修 
纯西边户，三室两厅一卫，，全天采光，优质房,儒苑小区,济阳,3室2厅 ,110.0, 南 , 简装 ,18, 板楼,1, 一年前发布,860000.0,"7,819元/平",VR看装修 
位于济阳区植物园东邻，一应俱全，免高税，好楼层,闻韶佳苑,济阳,3室2厅 ,115.0, 南 北 , 简装 ,32, 板楼,0,4,990000.0,"8,609元/平",
华鑫现代城40平一室48万精装修一楼带院,华鑫现代城,济阳,2室1厅 ,39.52, 东 西 , 精装 ,12, 板塔结合,0,3,480000.0,"12,146元/平",
华鑫现代城 3室1厅 东,华鑫现代城,济阳,3室1厅 ,30.06, 东 , 简装 ,6, 暂无数据,0,21,340000.0,"11,311元/平",房本满五年 
馨阳佳苑三室简装 南北通透 楼层好 视野宽阔 采光充足,三箭馨阳嘉苑,济阳,3室2厅 ,145.0, 南 北 , 简装 ,33, 暂无数据,0,28,1049000.0,"7,235元/平",随时看房 
济南世茂摩天城 3室2厅 南 北,济南世茂摩天城,济阳,3室2厅 ,99.7, 南 北 , 其他 ,26, 暂无数据,1, 1个月以前发布,870000.0,"8,727元/平",
金湖国际 3室2厅 南 北,金湖国际,济阳,3室2厅 ,134.85, 南 北 , 其他 ,18, 板楼,0,5,1080000.0,"8,009元/平",
科信达永康苑 3室2厅 南,科信达永康苑,济阳,3室2厅 ,107.0, 南 , 精装 ,6, 板楼,0,4,750000.0,"7,010元/平",
三发舜鑫苑西区 2室2厅 南 北,三发舜鑫苑西区,济阳,2室2厅 ,89.0, 南 北 , 其他 ,7, 板楼,0,3,750000.0,"8,427元/平",
名门世家(济阳区) 2室2厅 南 北,名门世家(济阳区),济阳,2室2厅 ,99.0, 南 北 , 其他 ,11, 暂无数据,0,2,686000.0,"6,930元/平",
澄波湖壹号 3室2厅 南 北,澄波湖壹号,济阳,3室2厅 ,124.0, 南 北 , 其他 ,18, 板楼,0,2,1160000.0,"9,355元/平",
三箭馨阳嘉苑 3室2厅 南,三箭馨阳嘉苑,济阳,3室2厅 ,123.76, 南 , 其他 ,30, 暂无数据,0,2,780000.0,"6,303元/平",
澄波湖壹号 3室2厅 南 北,澄波湖壹号,济阳,3室2厅 ,139.84, 南 北 , 其他 ,33, 暂无数据,0,1,1000000.0,"7,152元/平",
腾骐骏安西区 3室2厅 南 北,腾骐骏安西区,济阳,3室2厅 ,114.0, 南 北 , 其他 ,6, 板楼,0,2,780000.0,"6,843元/平",
科信达永康苑 3室2厅 南 北,科信达永康苑,济阳,3室2厅 ,128.0, 南 北 , 其他 ,8, 板楼,0,2,750000.0,"5,860元/平",
诚心出售 新世纪阳光花园 单价6300元 带储藏室,新世纪,济阳,2室2厅 ,99.17, 南 北 , 简装 ,6, 板楼,0, 1个月以前发布,590000.0,"5,950元/平",房本满五年 
此房好楼层 大两室 精装修  带储藏室,祥生·城市之星,济阳,3室2厅 ,110.0, 南 北 , 精装 ,25, 暂无数据,0,13,940000.0,"8,546元/平",
龙域天城B座公寓66.5平35万已下证,博纳龙域天城,济阳,1室1厅 ,66.5, 北 , 简装 ,22, 暂无数据,0,8,350000.0,"5,264元/平",
华鑫现代城 2室1厅 南 北,华鑫现代城,济阳,2室1厅 ,66.0, 南 北 , 其他 ,6, 板塔结合,1, 1个月以前发布,430000.0,"6,516元/平",
此房为三室两厅两卫 好楼层 毛坯房 全天采光,济南世茂摩天城,济阳,3室2厅 ,130.0, 南 北 , 毛坯 ,26, 板楼,0,30,1050000.0,"8,077元/平",
房子免高税 户型方正  南北通风,和家园,济阳,4室2厅 ,124.0, 南 北 , 简装 ,11, 板楼,0,26,1019000.0,"8,218元/平",
华鑫现代城 2室1厅 南 北,华鑫现代城,济阳,2室1厅 ,81.6, 南 北 , 简装 ,12, 板塔结合,1, 1个月以前发布,430000.0,"5,270元/平",
金海花园 三室两厅两卫  精装修 带储藏室 好楼层,四建金海花园,济阳,3室2厅 ,137.0, 南 北 , 精装 ,18, 板楼,0,29,1230000.0,"8,979元/平",
此房户型方正 可免高税过户 南北通风,博纳龙域天城,济阳,3室2厅 ,114.0, 南 北 , 精装 ,25, 暂无数据,0,22,868000.0,"7,615元/平",
澄波湖壹号95平简装两室免高税好楼层,澄波湖壹号,济阳,2室2厅 ,94.92, 南 , 简装 ,25, 暂无数据,0, 1个月以前发布,750000.0,"7,902元/平",
闻韶苑小区  三室两厅一卫  停车方便 免高税 带储藏室,闻韶苑,济阳,3室2厅 ,113.0, 南 北 , 简装 ,7, 板楼,0, 1个月以前发布,950000.0,"8,408元/平",
馨阳佳苑简装三室两厅 南北通透 楼层好 视野宽阔,三箭馨阳嘉苑,济阳,3室2厅 ,103.0, 南 北 , 简装 ,18, 暂无数据,0,28,760000.0,"7,379元/平",
澄波湖壹号 2室2厅 南 北,澄波湖壹号,济阳,2室2厅 ,95.0, 南 北 , 其他 ,24, 暂无数据,0,18,699000.0,"7,358元/平",
此房免高税 小高层 电梯洋房 好楼层 采光无忧带储藏室,禧福凤凰城,济阳,3室2厅 ,138.0, 南 北 , 精装 ,11, 暂无数据,1,19,1130000.0,"8,189元/平",
龙港·清华园 3室2厅 南 北,龙港·清华园,济阳,3室2厅 ,124.0, 南 北 , 简装 ,26, 板塔结合,0,15,850000.0,"6,855元/平",
禧福凤凰城 两室两厅 南通透格局,禧福凤凰城,济阳,2室2厅 ,103.0, 南 , 其他 ,26, 暂无数据,1,12,800000.0,"7,767元/平",
龙港·清华园 2室2厅 南,龙港·清华园,济阳,2室2厅 ,90.0, 南 , 精装 ,22, 板塔结合,0,11,650000.0,"7,223元/平",
三箭馨阳嘉苑 4室2厅 南 北,三箭馨阳嘉苑,济阳,4室2厅 ,148.0, 南 北 , 其他 ,22, 暂无数据,0,14,1500000.0,"10,136元/平",
儒苑小区 3室2厅 北 南,儒苑小区,济阳,3室2厅 ,128.0, 北 南 , 其他 ,18, 板楼,0,9,850000.0,"6,641元/平",
龙港·清华园 3室1厅 南 北,龙港·清华园,济阳,3室1厅 ,129.0, 南 北 , 精装 ,27, 板塔结合,0,9,850000.0,"6,590元/平",
大明胜景 3室2厅 南 北,大明胜景,济阳,3室2厅 ,108.0, 南 北 , 其他 ,24, 板楼,0,14,880000.0,"8,149元/平",
博纳龙域天城 3室2厅 南 北,博纳龙域天城,济阳,3室2厅 ,132.84, 南 北 , 其他 ,25, 暂无数据,0, 1个月以前发布,1060000.0,"7,980元/平",
三室两厅两卫，精装修，一体一户，南北通透，现在户型,博纳龙域天城,济阳,3室2厅 ,136.52, 南 北 , 精装 ,18, 板楼,1, 1个月以前发布,1500000.0,"10,988元/平",
此房免高税 带储藏室10平 无公摊 全天采光,富锦文苑,济阳,3室2厅 ,123.18, 南 北 , 简装 ,7, 暂无数据,1, 1个月以前发布,650000.0,"5,277元/平",
出售 雅居园两室两厅一卫  57万 免高税  好楼层,雅居园,济阳,2室1厅 ,80.0, 南 , 简装 ,7, 板楼,0, 1个月以前发布,570000.0,"7,125元/平",
四十多平公寓 南向 全天采光无忧,博纳龙域天城,济阳,1室1厅 ,44.0, 南 , 简装 ,22, 暂无数据,0, 4个月以前发布,282000.0,"6,410元/平",
盛世瑞城  电梯洋房共12层 一梯两户 带储藏室,盛世瑞城,济阳,3室2厅 ,120.0, 南 北 , 精装 ,12, 板楼,0, 1个月以前发布,960000.0,"8,000元/平",
出售精装修好房出售  中间楼层 电梯小高层  .免高税,雅居园,济阳,3室2厅 ,128.0, 南 北 , 精装 ,18, 板楼,0, 1个月以前发布,1000000.0,"7,813元/平",
澄波湖95平63万简装可分期马上免高税,澄波湖壹号,济阳,2室2厅 ,94.71, 南 , 简装 ,24, 暂无数据,2, 1个月以前发布,620000.0,"6,547元/平",
闻韶苑精装三室 南北通透 视野好 采光无忧 出行便利,闻韶苑,济阳,3室2厅 ,120.56, 南 北 , 精装 ,7, 板楼,0, 1个月以前发布,1080000.0,"8,959元/平",
此房为小高层， 视野宽阔，配套设施齐全，交通便利,盛世瑞城,济阳,3室2厅 ,130.0, 南 北 , 其他 ,8, 板楼,0, 1个月以前发布,990000.0,"7,616元/平",
澄波湖壹号 3室2厅 南 北,澄波湖壹号,济阳,3室2厅 ,135.0, 南 北 , 其他 ,27, 板楼,0,1,1060000.0,"7,852元/平",
闻韶佳苑 3室2厅 南 北,闻韶佳苑,济阳,3室2厅 ,138.29, 南 北 , 其他 ,32, 板楼,0, 刚刚发布,1320000.0,"9,546元/平",
禧福凤凰城 3室2厅 南 北,禧福凤凰城,济阳,3室2厅 ,127.5, 南 北 , 其他 ,18, 暂无数据,1, 刚刚发布,1100000.0,"8,628元/平",
